Volts,Thr%,Ohms,Millis
0.00,0,0,22
2.26,50,50505,38
2.34,50,50505,538
2.37,50,50505,1038
2.38,50,50505,1538
1.20,25,25253,2048
1.22,26,26263,2121
1.27,27,27273,2188
1.31,28,28283,2255
1.38,29,29293,2322
1.41,30,30303,2390
1.48,31,31313,2456
1.51,32,32323,2523
1.57,33,33333,2590
1.61,34,34343,2657
1.65,35,35354,2724
1.71,36,36364,2791
1.74,37,37374,2859
1.79,38,38384,2925
1.83,39,39394,2992
1.90,40,40404,3059
1.94,41,41414,3126
1.98,42,42424,3193
2.01,43,43434,3260
2.10,44,44444,3328
2.13,45,45455,3394
2.19,46,46465,3461
2.21,47,47475,3528
2.26,48,48485,3595
2.30,49,49495,3662
2.38,50,50505,3729
2.40,51,51515,3796
2.46,52,52525,3863
2.51,53,53535,3930
2.57,54,54545,3997
2.62,55,55556,4064
2.66,56,56566,4131
2.72,57,57576,4198
2.76,58,58586,4265
2.81,59,59596,4332
2.86,60,60606,4399
2.91,61,61616,4466
2.96,62,62626,4533
3.00,63,63636,4600
3.04,64,64646,4667
3.09,65,65657,4734
3.14,66,66667,4801
3.16,67,67677,4868
3.22,68,68687,4935
3.28,69,69697,5002
3.32,70,70707,5069
3.35,71,71717,5136
3.39,72,72727,5203
3.49,73,73737,5270
3.52,74,74747,5337
3.54,75,75758,5404
3.61,76,76768,5472
3.67,77,77778,5539
3.70,78,78788,5606
3.75,79,79798,5673
3.79,80,80808,5740
3.83,81,81818,5807
3.91,82,82828,5874
3.95,83,83838,5941
3.97,84,84848,6008
4.02,85,85859,6075
4.07,86,86869,6142
4.11,87,87879,6209
4.21,88,88889,6276
4.20,89,89899,6343
4.30,90,90909,6410
4.34,91,91919,6477
4.34,92,92929,6544
4.40,93,93939,6611
4.47,94,94949,6678
4.50,95,95960,6745
4.59,96,96970,6812
4.62,97,97980,6880
4.63,98,98990,6947
4.69,99,100000,7014
4.65,98,98990,7063
4.64,97,97980,7103
4.56,96,96970,7143
4.51,95,95960,7183
4.46,94,94949,7223
4.42,93,93939,7264
4.37,92,92929,7304
4.35,91,91919,7344
4.26,90,90909,7384
4.24,89,89899,7424
4.16,88,88889,7464
4.12,87,87879,7504
4.08,86,86869,7544
4.02,85,85859,7584
4.00,84,84848,7624
3.96,83,83838,7664
3.90,82,82828,7704
3.85,81,81818,7744
3.83,80,80808,7784
3.74,79,79798,7824
3.73,78,78788,7864
3.67,77,77778,7904
3.59,76,76768,7944
3.56,75,75758,7984
3.53,74,74747,8024
3.46,73,73737,8064
3.40,72,72727,8104
3.39,71,71717,8144
3.33,70,70707,8184
3.26,69,69697,8224
3.20,68,68687,8264
3.19,67,67677,8304
3.13,66,66667,8344
3.10,65,65657,8384
3.06,64,64646,8424
3.01,63,63636,8464
2.94,62,62626,8504
2.90,61,61616,8544
2.84,60,60606,8584
2.81,59,59596,8624
2.75,58,58586,8664
2.68,57,57576,8704
2.64,56,56566,8744
2.59,55,55556,8784
2.57,54,54545,8824
2.49,53,53535,8864
2.45,52,52525,8904
2.43,51,51515,8944
