New Run,2-Dec,2022,18:40:32,
Volts,Thr%,Ohms,Millis,
0,0,0,2,0.002
0.28,50,50505,1006,1.006
2.36,50,50505,2012,2.012
2.36,50,50505,2512,2.512
2.36,50,50505,3012,3.012
2.37,50,50505,3512,3.512
2.37,50,50505,4012,4.012
2.27,25,25253,5019,5.019
1.17,25,25253,6026,6.026
1.18,26,26263,6092,6.092
1.22,27,27273,6159,6.159
1.27,28,28283,6226,6.226
1.32,29,29293,6293,6.293
1.37,30,30303,6360,6.36
1.41,31,31313,6427,6.427
1.46,32,32323,6494,6.494
1.51,33,33333,6561,6.561
1.55,34,34343,6628,6.628
1.61,35,35354,6695,6.695
1.66,36,36364,6762,6.762
1.7,37,37374,6829,6.829
1.75,38,38384,6896,6.896
1.79,39,39394,6963,6.963
1.84,40,40404,7030,7.03
1.89,41,41414,7097,7.097
1.94,42,42424,7164,7.164
1.99,43,43434,7231,7.231
2.04,44,44444,7298,7.298
2.08,45,45455,7365,7.365
2.13,46,46465,7432,7.432
2.18,47,47475,7499,7.499
2.22,48,48485,7566,7.566
2.27,49,49495,7633,7.633
2.32,50,50505,7700,7.7
2.37,51,51515,7767,7.767
2.41,52,52525,7834,7.834
2.47,53,53535,7901,7.901
2.51,54,54545,7968,7.968
2.56,55,55556,8035,8.035
2.61,56,56566,8102,8.102
2.65,57,57576,8169,8.169
2.7,58,58586,8236,8.236
2.75,59,59596,8303,8.303
2.8,60,60606,8370,8.37
2.85,61,61616,8437,8.437
2.89,62,62626,8504,8.504
2.94,63,63636,8571,8.571
2.99,64,64646,8638,8.638
3.04,65,65657,8705,8.705
3.09,66,66667,8772,8.772
3.13,67,67677,8839,8.839
3.18,68,68687,8906,8.906
3.23,69,69697,8973,8.973
3.27,70,70707,9040,9.04
3.33,71,71717,9107,9.107
3.37,72,72727,9174,9.174
3.42,73,73737,9241,9.241
3.47,74,74747,9308,9.308
3.52,75,75758,9375,9.375
3.56,76,76768,9442,9.442
3.62,77,77778,9509,9.509
3.66,78,78788,9576,9.576
3.71,79,79798,9643,9.643
3.76,80,80808,9710,9.71
3.8,81,81818,9777,9.777
3.85,82,82828,9844,9.844
3.9,83,83838,9911,9.911
3.94,84,84848,9978,9.978
4,85,85859,10045,10.045
4.04,86,86869,10112,10.112
4.09,87,87879,10179,10.179
4.14,88,88889,10246,10.246
4.19,89,89899,10313,10.313
4.23,90,90909,10380,10.38
4.28,91,91919,10447,10.447
4.33,92,92929,10514,10.514
4.37,93,93939,10582,10.582
4.42,94,94949,10649,10.649
4.48,95,95960,10716,10.716
4.52,96,96970,10783,10.783
4.58,97,97980,10850,10.85
4.63,98,98990,10917,10.917
4.71,99,100000,10984,10.984
4.71,99,100000,11990,11.99
4.71,99,100000,12999,12.999
4.69,98,98990,13038,13.038
4.65,97,97980,13078,13.078
4.61,96,96970,13118,13.118
4.56,95,95960,13158,13.158
4.51,94,94949,13198,13.198
4.46,93,93939,13238,13.238
4.42,92,92929,13278,13.278
4.37,91,91919,13318,13.318
4.32,90,90909,13358,13.358
4.27,89,89899,13398,13.398
4.23,88,88889,13438,13.438
4.18,87,87879,13478,13.478
4.13,86,86869,13518,13.518
4.08,85,85859,13558,13.558
4.04,84,84848,13598,13.598
3.99,83,83838,13638,13.638
3.95,82,82828,13678,13.678
3.9,81,81818,13718,13.718
3.85,80,80808,13758,13.758
3.8,79,79798,13798,13.798
3.75,78,78788,13838,13.838
3.71,77,77778,13878,13.878
3.66,76,76768,13918,13.918
3.61,75,75758,13958,13.958
3.57,74,74747,13998,13.998
3.52,73,73737,14038,14.038
3.47,72,72727,14078,14.078
3.42,71,71717,14118,14.118
3.37,70,70707,14158,14.158
3.32,69,69697,14198,14.198
3.28,68,68687,14238,14.238
3.23,67,67677,14278,14.278
3.18,66,66667,14318,14.318
3.13,65,65657,14358,14.358
3.09,64,64646,14398,14.398
3.04,63,63636,14438,14.438
2.99,62,62626,14478,14.478
2.94,61,61616,14518,14.518
2.89,60,60606,14558,14.558
2.85,59,59596,14598,14.598
2.8,58,58586,14638,14.638
2.75,57,57576,14678,14.678
2.7,56,56566,14718,14.718
2.65,55,55556,14758,14.758
2.61,54,54545,14798,14.798
2.56,53,53535,14838,14.838
2.51,52,52525,14878,14.878
2.47,51,51515,14918,14.918
2.41,50,50505,14958,14.958
0,0,0,15965,15.965
